Height,DateTime (UTC),Txn,Uncles,Fee Recipient,Fee Recipient Nametag,Gas Limit,Difficulty,Reward,ReorgDepth
19982717,2024-05-30 12:38:59,133,0,0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97,Titan Builder,"30,000,000",0.000 TH,0.02978 ETH,1
19982368,2024-05-30 11:28:47,123,0,0x77777a6c097a1ce65c61a96a49bd1100f660ec94,MEV Builder: 0x777...C94,"30,000,000",0.000 TH,0.06961 ETH,1
19981197,2024-05-30 07:32:59,62,0,0x3aeb4b4f3412d780c4fa928f28091daf1a041c65,,"30,000,000",0.000 TH,0.0099 ETH,1
19980675,2024-05-30 05:48:23,61,0,0xb00d8517a6ec322786dacc7025c2f5e20f006aa0,,"30,000,000",0.000 TH,0.01287 ETH,1
19980484,2024-05-30 05:09:59,57,0,0x732f3d60cd5de2496d3354aaa68ae856304abef3,,"30,000,000",0.000 TH,0.00958 ETH,1
19980025,2024-05-30 03:37:35,35,0,0xce7edee3a01e4f318a5bc7896799b329bc116cff,,"30,000,000",0.000 TH,0.00445 ETH,1
19978966,2024-05-30 00:03:59,90,0,0x35cab8e0d48f40fd9a4ddaf252e63e2b8d4755f5,,"30,000,000",0.000 TH,0.01634 ETH,1
19977941,2024-05-29 20:37:47,57,0,0xcd615270ab3a7a3a262a4e49935d002278c76b78,,"30,000,000",0.000 TH,0.00952 ETH,1
19977489,2024-05-29 19:06:59,44,0,0xd77a884bf8475775645776591ad04dfc78c75c2c,,"30,000,000",0.000 TH,0.01837 ETH,1
19976263,2024-05-29 14:58:23,57,0,0x0a1123a3ba4479e1b89b29d13e6aa640fd128f4a,,"30,000,000",0.000 TH,0.06908 ETH,1
19976126,2024-05-29 14:30:47,236,0,0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97,Titan Builder,"30,000,000",0.000 TH,0.07929 ETH,1
19975779,2024-05-29 13:21:11,84,0,0xa4e19aac136f76214b01e9ae4076fb05367726be,Fee Recipient: 0xA4...6BE,"30,000,000",0.000 TH,0.01467 ETH,1
19975319,2024-05-29 11:47:11,68,0,0x156c2d0d9cfa744615b022229026423e24a566ee,,"30,000,000",0.000 TH,0.01095 ETH,1
19974639,2024-05-29 09:30:59,203,0,0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5,beaverbuild,"30,000,000",0.000 TH,0.05908 ETH,1
19973789,2024-05-29 06:40:23,175,0,0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97,Titan Builder,"30,000,000",0.000 TH,0.10967 ETH,1
19973463,2024-05-29 05:34:35,116,0,0x388c818ca8b9251b393131c08a736a67ccb19297,Lido: Execution Layer Rewards Vault,"30,000,000",0.000 TH,0.00581 ETH,1
19973353,2024-05-29 05:12:23,217,0,0x35cab8e0d48f40fd9a4ddaf252e63e2b8d4755f5,,"30,000,000",0.000 TH,0.00782 ETH,1
19973270,2024-05-29 04:55:35,301,0,0xd6e4aa932147a3fe5311da1b67d9e73da06f9cef,Mantle: Execution Layer Receiver,"30,000,000",0.000 TH,0.10654 ETH,1
19972787,2024-05-29 03:18:11,135,0,0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5,beaverbuild,"30,000,000",0.000 TH,0.12493 ETH,1
19972328,2024-05-29 01:45:59,61,0,0x39ed68f2087dca23f76792eca8f39508e74d82e5,,"30,000,000",0.000 TH,0.0101 ETH,1
19971500,2024-05-28 22:59:11,52,0,0x8c193e7c0627ccb5722bb84e3a53b33bcf130d5d,,"30,000,000",0.000 TH,0.01055 ETH,1
19971407,2024-05-28 22:40:23,152,0,0x1f9090aae28b8a3dceadf281b0f12828e676c326,,"30,000,000",0.000 TH,0.0577 ETH,1
19971255,2024-05-28 22:09:47,205,0,0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5,beaverbuild,"30,000,000",0.000 TH,0.09753 ETH,1
19970679,2024-05-28 20:13:11,188,0,0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5,beaverbuild,"30,000,000",0.000 TH,0.04869 ETH,1
19969567,2024-05-28 16:29:59,52,0,0x3993d99e7e163edd8d6eab036c0bac4a0f9c0771,,"30,000,000",0.000 TH,0.03489 ETH,1
19969333,2024-05-28 15:42:47,136,0,0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5,beaverbuild,"30,000,000",0.000 TH,0.04864 ETH,1
19968690,2024-05-28 13:33:35,217,0,0x22eec85ba6a5cd97ead4728ea1c69e1d9c6fa778,,"30,000,000",0.000 TH,0.10151 ETH,1
19967541,2024-05-28 09:42:35,144,0,0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5,beaverbuild,"30,000,000",0.000 TH,0.0745 ETH,1
19967266,2024-05-28 08:47:11,130,0,0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97,Titan Builder,"30,000,000",0.000 TH,0.38632 ETH,1
19967051,2024-05-28 08:03:47,75,0,0x7e0e4a6e5275e57f823c90529a9f3bf2ac049ce0,,"30,000,000",0.000 TH,0.03566 ETH,1
19966914,2024-05-28 07:36:11,79,0,0x1e9c52c8c007a37648980dea96f731cd3c047d01,,"30,000,000",0.000 TH,0.03091 ETH,1
19966354,2024-05-28 05:43:47,82,0,0x35cab8e0d48f40fd9a4ddaf252e63e2b8d4755f5,,"30,000,000",0.000 TH,0.00504 ETH,1
19965885,2024-05-28 04:09:23,107,0,0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97,Titan Builder,"30,000,000",0.000 TH,0.03856 ETH,1
19965785,2024-05-28 03:49:11,41,0,0x1d600e83e017a9e63abdb6d4a94694e25c101cc8,,"30,000,000",0.000 TH,0.00736 ETH,1
19964956,2024-05-28 01:02:47,154,0,0xfbce5f52fc21296ae42ee000dfdfdc7fecaaa2fd,,"30,029,295",0.000 TH,0.00449 ETH,1
19964421,2024-05-27 23:14:59,38,0,0x227c3d2f9f678fe52e42437160c2f08327ab8e47,Fee Recipient: 0x227...E47,"30,000,000",0.000 TH,0.01395 ETH,1
19963836,2024-05-27 21:17:11,161,0,0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5,beaverbuild,"30,000,000",0.000 TH,0.06518 ETH,1
19962315,2024-05-27 16:11:11,86,0,0x16981c76d7dfff8871529c8c46f79d93ca033cf0,,"30,000,000",0.000 TH,0.01563 ETH,1
19961387,2024-05-27 13:04:23,206,0,0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5,beaverbuild,"30,000,000",0.000 TH,0.02468 ETH,1
19960289,2024-05-27 09:23:23,105,0,0xd4e96ef8eee8678dbff4d535e033ed1a4f7605b7, Rocket Pool Smoothing Pool,"30,000,000",0.000 TH,0.00653 ETH,1
19960095,2024-05-27 08:44:23,48,0,0x33e92b618d9b6ad7c7edd6163540126c5a080b12,,"30,000,000",0.000 TH,0.00503 ETH,1
19960052,2024-05-27 08:35:35,112,0,0xebec795c9c8bbd61ffc14a6662944748f299cacf,Fee Recipient: 0xeBe...Acf,"30,000,000",0.000 TH,0.01275 ETH,1
19959503,2024-05-27 06:45:23,36,0,0xcd615270ab3a7a3a262a4e49935d002278c76b78,,"30,000,000",0.000 TH,0.00531 ETH,1
19959434,2024-05-27 06:31:23,194,0,0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5,beaverbuild,"30,000,000",0.000 TH,0.04664 ETH,1
19957631,2024-05-27 00:28:35,195,0,0x7ffed71449d1b47a6a9cfd46e0c4606434b30c17,,"30,000,000",0.000 TH,0.00843 ETH,1
19956459,2024-05-26 20:32:23,129,0,0x1f1522b9621975321c3578bd40db5f07a122fc0d,,"30,000,000",0.000 TH,0.15154 ETH,1
19956077,2024-05-26 19:15:35,57,0,0xd77a884bf8475775645776591ad04dfc78c75c2c,,"30,000,000",0.000 TH,0.00847 ETH,1
19955966,2024-05-26 18:53:11,190,0,0xf6a9bad6caea9dec2d5dc22804865cb522bdc2f8,,"30,000,000",0.000 TH,0.0092 ETH,1
19955291,2024-05-26 16:37:47,153,0,0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97,Titan Builder,"30,000,000",0.000 TH,0.02872 ETH,1
19954275,2024-05-26 13:13:35,34,0,0x88d45cf1b681425b8eb3837d1003555ae435056f,,"30,000,000",0.000 TH,0.00511 ETH,1
19953830,2024-05-26 11:43:23,135,0,0x1f9090aae28b8a3dceadf281b0f12828e676c326,,"30,000,000",0.000 TH,0.05048 ETH,1
19953820,2024-05-26 11:41:11,169,0,0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5,beaverbuild,"30,000,000",0.000 TH,0.08996 ETH,1
19951846,2024-05-26 05:04:47,26,0,0x5281921c641e2f717afb7c21a96fff52ba045af1,,"30,000,000",0.000 TH,0.00412 ETH,1
19951732,2024-05-26 04:41:47,196,0,0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97,Titan Builder,"30,000,000",0.000 TH,0.00672 ETH,1
19950424,2024-05-26 00:19:11,79,0,0xc1659163ce3743618a8c8d52befa53d8ed144a43,,"30,000,000",0.000 TH,0.02353 ETH,1
19949472,2024-05-25 21:07:23,245,0,0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97,Titan Builder,"30,000,000",0.000 TH,0.02824 ETH,1
19947886,2024-05-25 15:48:23,40,0,0x23b08a3b954c0d2d132c7cd4c961a14ea218e5a7,,"30,000,000",0.000 TH,0.00871 ETH,1
19947199,2024-05-25 13:29:59,126,0,0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97,Titan Builder,"30,000,000",0.000 TH,0.02853 ETH,1
19947104,2024-05-25 13:10:47,251,0,0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97,Titan Builder,"30,000,000",0.000 TH,0.01916 ETH,1
19946587,2024-05-25 11:27:11,133,0,0x5f056877246c7e8e735ea60db3f761b5232ac038,,"30,000,000",0.000 TH,0.00813 ETH,1
19946542,2024-05-25 11:17:59,24,0,0xd4e96ef8eee8678dbff4d535e033ed1a4f7605b7, Rocket Pool Smoothing Pool,"30,000,000",0.000 TH,0.00199 ETH,1
19946520,2024-05-25 11:13:23,112,0,0x8a0546182220ce38a3e746d7ffab955acf6ebd85,,"30,000,000",0.000 TH,0.00458 ETH,1
19946176,2024-05-25 10:04:11,176,0,0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97,Titan Builder,"30,000,000",0.000 TH,0.07347 ETH,1
19944174,2024-05-25 03:21:59,227,0,0x1f9090aae28b8a3dceadf281b0f12828e676c326,,"30,000,000",0.000 TH,0.00927 ETH,1
19943794,2024-05-25 02:04:47,190,0,0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5,beaverbuild,"30,000,000",0.000 TH,0.02 ETH,1
19943176,2024-05-24 23:59:47,117,0,0xf15689636571dba322b48e9ec9ba6cfb3df818e1,,"30,000,000",0.000 TH,0.01515 ETH,1
19942917,2024-05-24 23:07:35,36,0,0xf45347c7e0f840f020f06a09665a0bcc4e092a38,Fee Recipient: 0xF4...A38,"30,000,000",0.000 TH,0.00395 ETH,1
19942607,2024-05-24 22:05:23,169,0,0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97,Titan Builder,"30,000,000",0.000 TH,0.05183 ETH,1
19941756,2024-05-24 19:14:11,171,0,0x1f9090aae28b8a3dceadf281b0f12828e676c326,,"30,000,000",0.000 TH,0.05369 ETH,1
19941700,2024-05-24 19:02:47,157,0,0x921a1cd96363578f52c0d7cc3034056b46e0b30e,,"30,000,000",0.000 TH,0.00722 ETH,1
19941352,2024-05-24 17:52:23,228,0,0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97,Titan Builder,"30,000,000",0.000 TH,0.05169 ETH,1
19940437,2024-05-24 14:48:11,277,0,0x5f056877246c7e8e735ea60db3f761b5232ac038,,"30,000,000",0.000 TH,0.01678 ETH,1
19940239,2024-05-24 14:08:23,209,0,0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5,beaverbuild,"30,000,000",0.000 TH,0.0799 ETH,1
19939954,2024-05-24 13:10:59,91,0,0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97,Titan Builder,"30,000,000",0.000 TH,0.01575 ETH,1
19939283,2024-05-24 10:55:47,131,0,0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97,Titan Builder,"30,000,000",0.000 TH,0.02345 ETH,1
19938948,2024-05-24 09:48:35,274,0,0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5,beaverbuild,"30,000,000",0.000 TH,0.03612 ETH,1
19938439,2024-05-24 08:05:59,194,0,0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5,beaverbuild,"30,000,000",0.000 TH,0.03184 ETH,1
19938021,2024-05-24 06:41:47,120,0,0x58da99b068a2bb563ca3cbdf86f4ea98d2e9ef14,,"30,000,000",0.000 TH,0.00965 ETH,1
19937422,2024-05-24 04:41:47,64,0,0x61ad82d4466437d4cc250a0ceffbcbd7e07b8f96,,"30,000,000",0.000 TH,0.00928 ETH,1
19937149,2024-05-24 03:46:59,279,0,0x1f9090aae28b8a3dceadf281b0f12828e676c326,,"30,000,000",0.000 TH,0.06352 ETH,1
19936996,2024-05-24 03:16:11,207,0,0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97,Titan Builder,"30,000,000",0.000 TH,0.05186 ETH,1
19935683,2024-05-23 22:52:23,279,0,0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5,beaverbuild,"30,000,000",0.000 TH,0.07156 ETH,1
19935426,2024-05-23 22:00:35,172,0,0xa4e19aac136f76214b01e9ae4076fb05367726be,Fee Recipient: 0xA4...6BE,"30,000,000",0.000 TH,0.07168 ETH,1
19934049,2024-05-23 17:23:47,218,0,0x1f9090aae28b8a3dceadf281b0f12828e676c326,,"30,000,000",0.000 TH,0.07968 ETH,1
19933318,2024-05-23 14:55:59,193,0,0xdf99a0839818b3f120ebac9b73f82b617dc6a555,,"30,000,000",0.000 TH,0.04876 ETH,1
19932964,2024-05-23 13:44:47,171,0,0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97,Titan Builder,"30,000,000",0.000 TH,0.0314 ETH,1
19932951,2024-05-23 13:41:59,107,0,0x5638cbdc72bd8554055883d309cfc70357190cf3,MEV Builder: 0x563...cf3,"30,000,000",0.000 TH,0.01481 ETH,1
19932605,2024-05-23 12:32:23,141,0,0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97,Titan Builder,"30,000,000",0.000 TH,0.01615 ETH,1
19932190,2024-05-23 11:09:11,152,0,0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5,beaverbuild,"30,000,000",0.000 TH,0.03523 ETH,1
19931764,2024-05-23 09:43:35,48,0,0x88d45cf1b681425b8eb3837d1003555ae435056f,,"30,000,000",0.000 TH,0.00543 ETH,1
19931699,2024-05-23 09:30:23,206,0,0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97,Titan Builder,"30,000,000",0.000 TH,0.02382 ETH,1
19931662,2024-05-23 09:22:47,28,0,0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97,Titan Builder,"30,000,000",0.000 TH,0.07338 ETH,1
19930936,2024-05-23 06:57:11,140,0,0xd4e96ef8eee8678dbff4d535e033ed1a4f7605b7, Rocket Pool Smoothing Pool,"30,000,000",0.000 TH,0.00803 ETH,1
19930598,2024-05-23 05:49:11,179,0,0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97,Titan Builder,"30,000,000",0.000 TH,0.69102 ETH,1
19930172,2024-05-23 04:23:47,177,0,0x1f9090aae28b8a3dceadf281b0f12828e676c326,,"30,000,000",0.000 TH,0.02625 ETH,1
19929837,2024-05-23 03:16:11,0,0,0xe94f1fa4f27d9d288ffea234bb62e1fbc086ca0c,Fee Recipient: 0xE94...A0c,"30,000,000",0.000 TH,0 ETH,1
19928396,2024-05-22 22:26:47,168,0,0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5,beaverbuild,"30,000,000",0.000 TH,0.07232 ETH,1
19928361,2024-05-22 22:19:35,146,0,0x388c818ca8b9251b393131c08a736a67ccb19297,Lido: Execution Layer Rewards Vault,"30,000,000",0.000 TH,0.01742 ETH,1
19927796,2024-05-22 20:26:23,0,0,0x7e2a2fa2a064f693f0a55c5639476d913ff12d05,MEV Builder: 0x7e2...D05,"30,000,000",0.000 TH,0 ETH,1
19927092,2024-05-22 18:04:23,220,0,0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97,Titan Builder,"30,000,000",0.000 TH,0.20554 ETH,1
19926176,2024-05-22 15:00:35,126,0,0x2f9fc79066bb3ffb072bcf4e26b635436d026ce5,,"30,000,000",0.000 TH,0.02095 ETH,1
19925374,2024-05-22 12:18:59,109,0,0x2033a9f2c027fb4de3d29cb6d7c485905697cac4,,"30,000,000",0.000 TH,0.01465 ETH,1
19924926,2024-05-22 10:48:35,139,0,0x3d58f2f8afa3a434d91702167b3ef05a138d8c56,,"30,000,000",0.000 TH,0.00897 ETH,1
19924915,2024-05-22 10:46:11,158,0,0x9a66b7f0c54e2315f770072a5d31cc03cfd57a24,,"30,000,000",0.000 TH,0.01195 ETH,1
19924684,2024-05-22 09:59:35,282,0,0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5,beaverbuild,"30,000,000",0.000 TH,0.02173 ETH,1
19924046,2024-05-22 07:50:59,33,0,0x40dbda9109d48d9dbbe87633c6211a192a090dcc,,"30,000,000",0.000 TH,0.00464 ETH,1
19923351,2024-05-22 05:29:59,274,0,0x1f9090aae28b8a3dceadf281b0f12828e676c326,,"30,000,000",0.000 TH,0.01146 ETH,1
19922719,2024-05-22 03:21:59,299,0,0x1f9090aae28b8a3dceadf281b0f12828e676c326,,"30,000,000",0.000 TH,0.01573 ETH,1
19922316,2024-05-22 02:00:47,143,0,0x77777a6c097a1ce65c61a96a49bd1100f660ec94,MEV Builder: 0x777...C94,"30,000,000",0.000 TH,0.0415 ETH,1
19922077,2024-05-22 01:12:23,171,0,0xcd12f7f1747aaca69c61b7af23fb5d5691191562,,"30,000,000",0.000 TH,0.00822 ETH,1
19921699,2024-05-21 23:55:35,33,0,0x76b227093ceeddf72cb19bca1b4835b933a71416,,"30,000,000",0.000 TH,0.00373 ETH,1
19919937,2024-05-21 18:01:47,59,0,0x60d694516e8f00d9d650142f9a12cbc7ec143dfc,,"30,000,000",0.000 TH,0.0539 ETH,1
19919806,2024-05-21 17:35:23,117,0,0x2e95a71630f18856a4b9ce8b3b1567c38525281f,Fee Recipient: 0x2e9...81F,"30,000,000",0.000 TH,0.01342 ETH,1
19918430,2024-05-21 12:57:59,151,0,0xaab27b150451726ec7738aa1d0a94505c8729bd1,Eden Network: Builder,"30,000,000",0.000 TH,0.01978 ETH,1
19917540,2024-05-21 09:58:47,253,0,0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5,beaverbuild,"30,000,000",0.000 TH,0.0273 ETH,1
19917487,2024-05-21 09:47:59,54,0,0xcd615270ab3a7a3a262a4e49935d002278c76b78,,"30,000,000",0.000 TH,0.00657 ETH,1
19916826,2024-05-21 07:34:59,130,0,0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97,Titan Builder,"30,000,000",0.000 TH,0.0104 ETH,1
19915466,2024-05-21 03:01:59,45,0,0xcd615270ab3a7a3a262a4e49935d002278c76b78,,"30,000,000",0.000 TH,0.00546 ETH,1
19914993,2024-05-21 01:26:47,177,0,0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5,beaverbuild,"30,000,000",0.000 TH,0.05291 ETH,1
19914902,2024-05-21 01:08:23,201,0,0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97,Titan Builder,"30,000,000",0.000 TH,0.10498 ETH,1
19911864,2024-05-20 14:54:23,162,0,0x6d2e03b7effeae98bd302a9f836d0d6ab0002766,Fee Recipient: 0x6d2...766,"30,000,000",0.000 TH,0.00657 ETH,1
19911646,2024-05-20 14:10:35,152,0,0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97,Titan Builder,"30,000,000",0.000 TH,0.0438 ETH,1
19910478,2024-05-20 10:15:35,89,0,0xcc20850f1907be2aab7474b9819112e37e630d7b,,"30,000,000",0.000 TH,0.01082 ETH,1
19909826,2024-05-20 08:04:11,160,0,0x9284688e7285afe5488efeddbca3ec1b94d2bf79,,"30,000,000",0.000 TH,0.01107 ETH,1
19908925,2024-05-20 05:02:47,156,0,0x59ecf48345a221e0731e785ed79ed40d0a94e2a5,CryptoManufaktur: Lido Node Operator,"30,000,000",0.000 TH,0.00539 ETH,1
19908088,2024-05-20 02:14:35,31,0,0x7194fdf7e0c820349491139a944b6eaf6536a761,,"30,000,000",0.000 TH,0.00407 ETH,1
19906143,2024-05-19 19:43:11,45,0,0xc188a20e433c3360d58e8c65f375ea07c6cdb000,,"30,000,000",0.000 TH,0.0102 ETH,1
19905494,2024-05-19 17:33:11,148,0,0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5,beaverbuild,"30,000,000",0.000 TH,0.09639 ETH,1
19905457,2024-05-19 17:25:35,233,0,0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97,Titan Builder,"30,000,000",0.000 TH,0.03805 ETH,1
19905434,2024-05-19 17:20:47,0,0,0x388c818ca8b9251b393131c08a736a67ccb19297,Lido: Execution Layer Rewards Vault,"30,000,000",0.000 TH,0 ETH,1
19905129,2024-05-19 16:19:11,64,0,0x2b412275d5dbf5b1ae0ec24d5b4ac5a461f696ab,,"30,000,000",0.000 TH,0.00985 ETH,1
